id,order_id,order_date,customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,shipper_name,shipper_phone,product_category,product_category_desc,product_quantity,product_name,product_unit,product_price,supplier_name,supplier_contact,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_phone,employee_first_name,employee_last_name,employee_birthdate,employee_photo,employee_note
11,10251,1996-07-08,"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France,"Speedy Express","(503) 555-9831",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",20,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
12,10252,1996-07-09,"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"United Package","(503) 555-3199",Confections,"Desserts, candies, and sweet breads",40,"Sir Rodneys Marmalade","30 gift boxes",81,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
13,10252,1996-07-09,"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"United Package","(503) 555-3199","Dairy Products",Cheeses,25,Geitost,"500 g",2.5,"Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010,Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
14,10252,1996-07-09,"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,"United Package","(503) 555-3199","Dairy Products",Cheeses,40,"Camembert Pierrot","15 - 300 g rounds",34,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
15,10253,1996-07-10,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199","Dairy Products",Cheeses,20,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
16,10253,1996-07-10,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199",Beverages,"Soft drinks, coffees, teas, beers, and ales",42,"Chartreuse verte","750 cc per bottle",18,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
17,10253,1996-07-10,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,"United Package","(503) 555-3199",Confections,"Desserts, candies, and sweet breads",40,Maxilaku,"24 - 50 g pkgs.",20,"Karkki Oy","Anne Heikkonen","Valtakatu 12",Lappeenranta,53120,Finland,"(953) 10956",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
18,10254,1996-07-11,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"United Package","(503) 555-3199",Beverages,"Soft drinks, coffees, teas, beers, and ales",15,"Guarana Fantastica","12 - 355 ml cans",4.5,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
19,10254,1996-07-11,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"United Package","(503) 555-3199",Meat/Poultry,"Prepared meats",21,"Pate chinois","24 boxes x 2 pies",24,"Ma Maison","Jean-Guy Lauzon","2960 Rue St. Laurent",Montreal,"H1J 1C3",Canada,"(514) 555-9022",Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
20,10254,1996-07-11,"Chop-suey Chinese","Yang Wang","Hauptstr. 29",Bern,3012,Switzerland,"United Package","(503) 555-3199",Produce,"Dried fruit and bean curd",21,"Longlife Tofu","5 kg pkg.",10,"Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Steven,Buchanan,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French."
21,10255,1996-07-12,"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"Federal Shipping","(503) 555-9931",Beverages,"Soft drinks, coffees, teas, beers, and ales",20,Chang,"24 - 12 oz bottles",19,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
22,10255,1996-07-12,"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"Federal Shipping","(503) 555-9931",Confections,"Desserts, candies, and sweet breads",35,Pavlova,"32 - 500 g boxes",17.45,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
23,10255,1996-07-12,"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"Federal Shipping","(503) 555-9931",Seafood,"Seaweed and fish",25,"Inlagd Sill","24 - 250 g jars",19,"Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
24,10255,1996-07-12,"Richter Supermarkt","Michael Holz","Grenzacherweg 237",Geneve,1203,Switzerland,"Federal Shipping","(503) 555-9931","Dairy Products",Cheeses,30,"Raclette Courdavault","5 kg pkg.",55,"Gai paturage","Eliane Noz","Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
25,10256,1996-07-15,"Wellington Importadora","Paula Parente","Rua do Mercado, 12",Resende,08737-363,Brazil,"United Package","(503) 555-3199",Meat/Poultry,"Prepared meats",15,"Perth Pasties","48 pieces",32.8,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
26,10256,1996-07-15,"Wellington Importadora","Paula Parente","Rua do Mercado, 12",Resende,08737-363,Brazil,"United Package","(503) 555-3199",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",12,"Original Frankfurter grune Sosse","12 boxes",13,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Janet,Leverling,1963-08-30,EmpID3.pic,"Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative."
27,10257,1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"Federal Shipping","(503) 555-9931",Confections,"Desserts, candies, and sweet breads",25,"Schoggi Schokolade","100 - 100 g pieces",43.9,"Heli Susswaren GmbH and Co. KG","Petra Winkler","Tiergartenstrasse 5",Berlin,10785,Germany,"(010) 9984510",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
28,10257,1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"Federal Shipping","(503) 555-9931",Beverages,"Soft drinks, coffees, teas, beers, and ales",6,"Chartreuse verte","750 cc per bottle",18,"Aux joyeux ecclesiastiques","Guylene Nodier","203, Rue des Francs-Bourgeois",Paris,75004,France,"(1) 03.83.00.68",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
29,10257,1996-07-16,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristobal",5022,Venezuela,"Federal Shipping","(503) 555-9931",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",15,"Original Frankfurter grune Sosse","12 boxes",13,"Plutzer Lebensmittelgrossmarkte AG","Martin Bein","Bogenallee 51",Frankfurt,60439,Germany,"(069) 992755",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
30,10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Speedy Express","(503) 555-9831",Beverages,"Soft drinks, coffees, teas, beers, and ales",50,Chang,"24 - 12 oz bottles",19,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Nancy,Davolio,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
31,10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Speedy Express","(503) 555-9831",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",65,"Chef Antons Gumbo Mix","36 boxes",21.35,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Nancy,Davolio,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
32,10258,1996-07-17,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Speedy Express","(503) 555-9831","Dairy Products",Cheeses,6,"Mascarpone Fabioli","24 - 200 g pkgs.",32,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",Nancy,Davolio,1968-12-08,EmpID1.pic,"Education includes a BA in psychology from Colorado State University. She also completed (The Art of the Cold Call). Nancy is a member of 'Toastmasters International'."
33,10259,1996-07-18,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,"Federal Shipping","(503) 555-9931",Confections,"Desserts, candies, and sweet breads",10,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
34,10259,1996-07-18,"Centro comercial Moctezuma","Francisco Chang","Sierras de Granada 9993","Mexico D.F.",05022,Mexico,"Federal Shipping","(503) 555-9931",Seafood,"Seaweed and fish",1,"Gravad lax","12 - 500 g pkgs.",26,"Svensk Sjofoda AB","Michael Bjorn","Brovallavagen 231",Stockholm,"S-123 45",Sweden,"08-123 45 67",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
35,10260,1996-07-19,"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"Speedy Express","(503) 555-9831",Seafood,"Seaweed and fish",16,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
36,10260,1996-07-19,"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"Speedy Express","(503) 555-9831",Grains/Cereals,"Breads, crackers, pasta, and cereal",50,"Ravioli Angelo","24 - 250 g pkgs.",19.5,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
37,10260,1996-07-19,"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"Speedy Express","(503) 555-9831",Confections,"Desserts, candies, and sweet breads",15,"Tarte au sucre","48 pies",49.3,"Forets derables","Chantal Goulet","148 rue Chasseur",Ste-Hyacinthe,"J2S 7S8",Canada,"(514) 555-2955",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
38,10260,1996-07-19,"Old World Delicatessen","Rene Phillips","2743 Bering St.",Anchorage,99508,USA,"Speedy Express","(503) 555-9831",Beverages,"Soft drinks, coffees, teas, beers, and ales",21,"Outback Lager","24 - 355 ml bottles",15,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
39,10261,1996-07-19,"Que Delicia","Bernardo Batista","Rua da Panificadora, 12","Rio de Janeiro",02389-673,Brazil,"United Package","(503) 555-3199",Confections,"Desserts, candies, and sweet breads",20,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
40,10261,1996-07-19,"Que Delicia","Bernardo Batista","Rua da Panificadora, 12","Rio de Janeiro",02389-673,Brazil,"United Package","(503) 555-3199",Beverages,"Soft drinks, coffees, teas, beers, and ales",20,"Steeleye Stout","24 - 12 oz bottles",18,"Bigfoot Breweries","Cheryl Saylor","3400 - 8th Avenue Suite 210",Bend,97101,USA,"(503) 555-9931",Margaret,Peacock,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle."
41,10262,1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"Federal Shipping","(503) 555-9931",Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",12,"Chef Antons Gumbo Mix","36 boxes",21.35,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",Laura,Callahan,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
42,10262,1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"Federal Shipping","(503) 555-9931",Produce,"Dried fruit and bean curd",15,"Uncle Bobs Organic Dried Pears","12 - 1 lb pkgs.",30,"Grandma Kellys Homestead","Regina Murphy","707 Oxford Rd.","Ann Arbor",48104,USA,"(313) 555-5735",Laura,Callahan,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
43,10262,1996-07-22,"Rattlesnake Canyon Grocery","Paula Wilson","2817 Milton Dr.",Albuquerque,87110,USA,"Federal Shipping","(503) 555-9931",Grains/Cereals,"Breads, crackers, pasta, and cereal",2,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,"Pasta Buttini s.r.l.","Giovanni Giudici","Via dei Gelsomini, 153",Salerno,84100,Italy,"(089) 6547665",Laura,Callahan,1958-01-09,EmpID8.pic,"Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French."
44,10263,1996-07-23,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Federal Shipping","(503) 555-9931",Confections,"Desserts, candies, and sweet breads",60,Pavlova,"32 - 500 g boxes",17.45,"Pavlova, Ltd.","Ian Devling","74 Rose St. Moonie Ponds",Melbourne,3058,Australia,"(03) 444-2343",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
45,10263,1996-07-23,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Federal Shipping","(503) 555-9931",Beverages,"Soft drinks, coffees, teas, beers, and ales",28,"Guarana Fantastica","12 - 355 ml cans",4.5,"Refrescos Americanas LTDA","Carlos Diaz","Av. das Americanas 12.890","Sao Paulo",5442,Brazil,"(11) 555 4640",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
46,10263,1996-07-23,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Federal Shipping","(503) 555-9931",Seafood,"Seaweed and fish",60,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,"Nord-Ost-Fisch Handelsgesellschaft mbH","Sven Petersen","Frahmredder 112a",Cuxhaven,27478,Germany,"(04721) 8713",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
47,10263,1996-07-23,"Ernst Handel","Roland Mendel","Kirchgasse 6",Graz,8010,Austria,"Federal Shipping","(503) 555-9931",Produce,"Dried fruit and bean curd",36,"Longlife Tofu","5 kg pkg.",10,"Tokyo Traders","Yoshi Nagase","9-8 Sekimai Musashino-shi",Tokyo,100,Japan,"(03) 3555-5011",Anne,Dodsworth,1969-07-02,EmpID9.pic,"Anne has a BA degree in English from St. Lawrence College. She is fluent in French and German."
48,10264,1996-07-24,"Folk och fa HB","Maria Larsson","akergatan 24",Bracke,"S-844 67",Sweden,"Federal Shipping","(503) 555-9931",Beverages,"Soft drinks, coffees, teas, beers, and ales",35,Chang,"24 - 12 oz bottles",19,"Exotic Liquid","Charlotte Cooper","49 Gilbert St.",Londona,"EC1 4SD",UK,"(171) 555-2222",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
49,10264,1996-07-24,"Folk och fa HB","Maria Larsson","akergatan 24",Bracke,"S-844 67",Sweden,"Federal Shipping","(503) 555-9931",Seafood,"Seaweed and fish",25,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish."
